Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Abigail.M,2022.06.06 07:48:11 EDT,1364,VPN,0,1,172.20.62.22,10.128.20.31,UDP,1194,127754968,
openvpn-server,Patricia.I,2022.06.06 08:25:06 EDT,19288,VPN,0,1,172.22.116.102,10.128.20.53,UDP,1194,2769814664,
openvpn-server,Ashley.H,2022.06.06 08:50:11 EDT,9980,VPN,0,1,172.20.13.194,10.128.20.209,UDP,1194,1599255080,
openvpn-server,Heather.N,2022.06.06 09:12:27 EDT,13158,VPN,0,1,172.17.127.192,10.128.20.92,UDP,1194,2100529962,
openvpn-server,Justin.H,2022.06.06 09:33:47 EDT,8497,VPN,0,1,172.16.234.175,10.128.20.20,UDP,1194,2010721583,
openvpn-server,Abigail.M,2022.06.06 10:00:27 EDT,9086,VPN,0,1,172.22.46.185,10.128.20.130,UDP,1194,205525320,
openvpn-server,Jacqueline.J,2022.06.06 10:26:30 EDT,,VPN,0,0,172.22.199.177,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Gerald.U,2022.06.06 10:37:56 EDT,14741,VPN,0,1,172.27.168.240,10.128.20.214,UDP,1194,4041687380,
openvpn-server,Vincent.W,2022.06.06 11:10:36 EDT,,VPN,0,0,172.16.230.254,,UDP,1194,,user not found
openvpn-server,John.A,2022.06.06 11:29:51 EDT,26204,VPN,0,1,172.22.31.252,10.128.20.120,UDP,1194,6652619112,
openvpn-server,Theresa.T,2022.06.06 11:45:14 EDT,1872,VPN,0,1,172.24.29.191,10.128.20.75,UDP,1194,132986880,
openvpn-server,Elizabeth.F,2022.06.06 12:04:51 EDT,2800,VPN,0,1,172.16.204.102,10.128.20.32,UDP,1194,295548400,
openvpn-server,Donna.L,2022.06.06 12:25:37 EDT,903,VPN,0,1,172.28.197.195,10.128.20.223,UDP,1194,19260087,
openvpn-server,Megan.A,2022.06.06 12:37:11 EDT,3050,VPN,0,1,172.20.174.157,10.128.20.6,UDP,1194,125794200,
openvpn-server,Virginia.J,2022.06.06 13:09:05 EDT,3705,VPN,0,1,172.27.205.69,10.128.20.44,UDP,1194,303572880,
openvpn-server,Danielle.F,2022.06.06 13:23:52 EDT,2703,VPN,0,1,172.16.150.35,10.128.20.39,UDP,1194,467640624,
openvpn-server,Megan.A,2022.06.06 13:34:08 EDT,7197,VPN,0,1,172.28.18.246,10.128.20.161,UDP,1194,887785935,
openvpn-server,Diana.Z,2022.06.06 14:01:07 EDT,,VPN,0,0,172.16.126.140,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Patricia.I,2022.06.06 14:35:20 EDT,6568,VPN,0,1,172.22.113.100,10.128.20.100,UDP,1194,1665546280,
openvpn-server,James.A,2022.06.06 15:08:47 EDT,4364,VPN,0,1,172.17.20.234,10.128.20.107,UDP,1194,495680576,
openvpn-server,Donna.L,2022.06.06 15:41:11 EDT,6737,VPN,0,1,172.30.34.11,10.128.20.133,UDP,1194,375399114,
openvpn-server,Benjamin.D,2022.06.06 15:53:45 EDT,2225,VPN,0,1,172.23.117.131,10.128.20.91,UDP,1194,347883200,
openvpn-server,Heather.N,2022.06.06 16:12:37 EDT,2850,VPN,0,1,172.18.242.200,10.128.20.181,UDP,1194,780706200,
openvpn-server,Justin.H,2022.06.06 16:30:55 EDT,7015,VPN,0,1,172.31.7.158,10.128.20.134,UDP,1194,757325370,
openvpn-server,Diana.Z,2022.06.06 17:02:04 EDT,6173,VPN,0,1,172.30.192.66,10.128.20.51,UDP,1194,171485940,
openvpn-server,Gerald.U,2022.06.06 17:15:26 EDT,7345,VPN,0,1,172.25.132.125,10.128.20.136,UDP,1194,1449660615,
openvpn-server,Martha.A,2022.06.06 17:26:38 EDT,5388,VPN,0,1,172.26.232.89,10.128.20.231,UDP,1194,1471101804,
openvpn-server,Theresa.T,2022.06.06 17:43:15 EDT,,VPN,0,0,172.17.218.168,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Ashley.H,2022.06.06 18:00:19 EDT,,VPN,0,0,172.21.159.142,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Abigail.M,2022.06.06 18:20:40 EDT,,VPN,0,0,172.22.61.136,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Danielle.F,2022.06.06 18:51:49 EDT,,VPN,0,0,172.25.245.103,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Virginia.J,2022.06.07 07:10:12 EDT,31731,VPN,0,1,172.29.100.217,10.128.20.141,UDP,1194,4724650707,
openvpn-server,Martha.A,2022.06.07 07:41:17 EDT,32285,VPN,0,1,172.30.214.226,10.128.20.29,UDP,1194,4011217540,
openvpn-server,Thomas.M,2022.06.07 07:53:09 EDT,14403,VPN,0,1,172.18.163.121,10.128.20.182,UDP,1194,2007014841,
openvpn-server,George.Z,2022.06.07 08:09:18 EDT,22044,VPN,0,1,172.29.150.42,10.128.20.57,UDP,1194,4186331952,
openvpn-server,Anthony.B,2022.06.07 08:24:09 EDT,14242,VPN,0,1,172.17.246.148,10.128.20.248,UDP,1194,1340257652,
openvpn-server,Betty.W,2022.06.07 08:46:53 EDT,25782,VPN,0,1,172.28.36.62,10.128.20.224,UDP,1194,4776863178,
openvpn-server,Heather.N,2022.06.07 09:03:32 EDT,24628,VPN,0,1,172.26.151.27,10.128.20.137,UDP,1194,1084099932,
openvpn-server,Donna.L,2022.06.07 09:25:58 EDT,2896,VPN,0,1,172.28.152.80,10.128.20.3,UDP,1194,720151216,
openvpn-server,Diana.Z,2022.06.07 09:46:41 EDT,2023,VPN,0,1,172.23.177.128,10.128.20.98,UDP,1194,195533065,
openvpn-server,John.A,2022.06.07 10:22:32 EDT,31973,VPN,0,1,172.17.225.30,10.128.20.10,UDP,1194,5447719605,
openvpn-server,James.A,2022.06.07 10:38:02 EDT,25131,VPN,0,1,172.25.176.135,10.128.20.44,UDP,1194,2492567973,
openvpn-server,Patricia.I,2022.06.07 11:15:00 EDT,23928,VPN,0,1,172.21.20.152,10.128.20.235,UDP,1194,2377940712,
openvpn-server,Danielle.F,2022.06.07 11:37:57 EDT,15979,VPN,0,1,172.31.179.97,10.128.20.50,UDP,1194,222219953,
openvpn-server,Benjamin.D,2022.06.07 11:50:55 EDT,15512,VPN,0,1,172.18.123.38,10.128.20.197,UDP,1194,3933021064,
openvpn-server,Donna.L,2022.06.07 12:12:31 EDT,11487,VPN,0,1,172.16.151.129,10.128.20.98,UDP,1194,532146762,
openvpn-server,Hannah.Q,2022.06.07 12:36:17 EDT,21221,VPN,0,1,172.17.123.64,10.128.20.9,UDP,1194,299491973,
openvpn-server,Ashley.H,2022.06.07 13:15:44 EDT,16004,VPN,0,1,172.31.104.92,10.128.20.242,UDP,1194,82212548,
openvpn-server,Anthony.B,2022.06.07 13:38:21 EDT,17323,VPN,0,1,172.24.242.230,10.128.20.234,UDP,1194,2082917520,
openvpn-server,Douglas.K,2022.06.07 14:07:07 EDT,,VPN,0,0,172.18.121.250,,UDP,1194,,user not found
openvpn-server,Elizabeth.F,2022.06.07 14:43:32 EDT,10743,VPN,0,1,172.18.189.193,10.128.20.104,UDP,1194,385007634,
openvpn-server,Thomas.M,2022.06.07 15:06:01 EDT,5413,VPN,0,1,172.18.167.238,10.128.20.83,UDP,1194,1186394275,
openvpn-server,Megan.A,2022.06.07 15:19:09 EDT,12973,VPN,0,1,172.22.73.61,10.128.20.71,UDP,1194,3250579745,
openvpn-server,Donna.L,2022.06.07 15:32:45 EDT,,VPN,0,0,172.18.134.81,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Justin.H,2022.06.07 15:57:28 EDT,,VPN,0,0,172.20.195.253,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Virginia.J,2022.06.07 16:16:57 EDT,,VPN,0,0,172.20.158.28,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Donna.L,2022.06.07 16:34:50 EDT,9010,VPN,0,1,172.17.219.69,10.128.20.246,UDP,1194,615563200,
openvpn-server,Benjamin.D,2022.06.07 16:48:16 EDT,3695,VPN,0,1,172.17.155.74,10.128.20.28,UDP,1194,735305000,
openvpn-server,Theresa.T,2022.06.07 17:03:32 EDT,6514,VPN,0,1,172.22.55.204,10.128.20.63,UDP,1194,1656692592,
openvpn-server,Heather.N,2022.06.07 17:23:49 EDT,,VPN,0,0,172.29.225.67,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jacqueline.J,2022.06.07 17:50:23 EDT,6102,VPN,0,1,172.26.100.69,10.128.20.23,UDP,1194,1238040882,
openvpn-server,Martha.A,2022.06.07 18:15:53 EDT,7470,VPN,0,1,172.27.4.119,10.128.20.192,UDP,1194,1276951680,
openvpn-server,Ashley.H,2022.06.07 18:48:15 EDT,4272,VPN,0,1,172.22.1.195,10.128.20.65,UDP,1194,560413776,
openvpn-server,Betty.W,2022.06.08 07:00:14 EDT,5901,VPN,0,1,172.25.169.241,10.128.20.254,UDP,1194,1320331047,
openvpn-server,Thomas.M,2022.06.08 07:13:24 EDT,17635,VPN,0,1,172.18.152.110,10.128.20.30,UDP,1194,372715725,
openvpn-server,Abigail.M,2022.06.08 07:36:34 EDT,19428,VPN,0,1,172.29.78.56,10.128.20.81,UDP,1194,288855504,
openvpn-server,James.A,2022.06.08 07:58:44 EDT,1255,VPN,0,1,172.16.96.180,10.128.20.134,UDP,1194,112653820,
openvpn-server,Janet.F,2022.06.08 08:11:15 EDT,33506,VPN,0,1,172.26.153.125,10.128.20.149,UDP,1194,9281999650,
openvpn-server,Randy.R,2022.06.08 08:45:05 EDT,27507,VPN,0,1,172.30.160.21,10.128.20.154,UDP,1194,1171853214,
openvpn-server,Hannah.Q,2022.06.08 09:11:23 EDT,33017,VPN,0,1,172.19.165.157,10.128.20.169,UDP,1194,7469138757,
